sigla progetto,nome del' attore,tipo di relazione
Padiglioni Breda  e allestimenti,"1951 - Ing. Giorgio Grando (fonte Bibliografia) 1951/54 - Ing. Marcello Grisotti 1951/54 - Ingg. Erminio Gosso e Giuseppe Dal Monte (fonte Elenco coll. L.B.) 1953 - Invita il pittore-scultore Lucio Fontana: sala proiezioni con complesso luminoso a soffitto 1954 - Invita lo scultore Umberto Milani: bassorilievo in gesso ""Sintesi del ciclo produttivo siderurgico""; il pittore Attilio Rossi: figurazione plastica sulla facciata del padiglione ""La Breda oggi nell'universo industriale"" e il pittore-scultore Lucio Fontana: soffitto sala proiezioni ""Plastica luminosa""",COL
Padiglioni Sidercomit e allestimenti,Sidercomit S.p.A.  - Presidente A. Scotto,COM
Padiglioni Sidercomit e allestimenti,1953/54 - Ing. Marcello Grisotti (fonte Curriculum L.B.) 1953 - Invita il pittore-scultore Lucio Fontana: complesso luminoso a soffitto e nastro metallico pubblicitario su parete esterna; il pittore Attilio Rossi: decorazione parietale (fonte Bibliografia),COL
Progetto Padiglioni Fiera,Ente Fiera Milano - Segretario Generale Dott. Michele Guido Franci,COM
Progetto Padiglioni Fiera,"Arch. Maria Pia Matteotti, Ing. Ernesto Saliva (fonte Elenco coll. L.B.)",COL
Progetto Tribuna Presidenziale (progetto di ampliamento),Ente Fiera Milano - Segretario Generale Dott. Michele Guido Franci,COM
Progetto Tribuna Presidenziale (progetto di ampliamento),Invita il pittore-scultore Lucio Fontana: taglio a parete e scultura lamellare,COL
Progetto Viale Editoria,Ente Fiera Milano - Segretario Generale Dott. Michele Guido Franci,COM
Progetto Viale Editoria,Arch. Maria Pia Matteotti (fonte Elenco coll. L.B.),COL
Padiglioni I.L.V.A. Iscrizioni,I.L.V.A. (Industria Laminati Veneti Acciai),COM
Progetto Padiglione Breda (realizzato con modifche sostanziali dall'Arch. Tonino M. Cirielli),Finanziaria Ernesto Breda S.p.A. - Presidente Avv. Pietro Sette,COM
Progetto Padiglione Breda (realizzato con modifche sostanziali dall'Arch. Tonino M. Cirielli),Ing. De Vita,COL
Progetto Padiglione Breda (realizzato con modifche sostanziali dall'Arch. Tonino M. Cirielli),Arch. Tonino M. Cirielli,COP
Padiglione Italsider (ristrutturazione e allestimento padiglione Sidercomit),Italsider S.p.A. (già Sidercomit),COM
Padiglione Italsider (ristrutturazione e allestimento padiglione Sidercomit),Arch. Roberto Innocenti (fonte Elenco coll. L.B.),COL
Tomba Mariani-Malacrida,"Dott. Giulio Mariani, Edoardo e Luigi Mariani",COM
Tomba Mariani-Malacrida,Invita il pittore Mario Sironi: mosaico (non eseguito),COL
